countries_first	languages_first	running_times_first	kind
Algeria	Arabic	1.681666666666667	40
Algeria	Berber	1.7166666666666668	2
Algeria	English	1.6166666666666667	1
Algeria	French	1.5409090909090908	22
Argentina	Aboriginal	1.1666666666666667	1
Argentina	Arabic	1.25	1
Argentina	Catalan	1.0666666666666667	1
Argentina	English	1.5160493827160495	54
Argentina	French	1.3166666666666667	3
Argentina	Galician	1.5333333333333334	1
Argentina	German	1.511111111111111	6
Argentina	Guarani	1.3	1
Argentina	Hindi	1.5	1
Argentina	Italian	1.3333333333333335	5
Argentina	Korean	1.7	1
Argentina	None	1.2333333333333334	1
Argentina	Portuguese	1.5583333333333336	6
Argentina	Quechua	1.4333333333333333	1
Argentina	Sign Languages	1.3833333333333333	1
Argentina	Spanish	1.459105069385445	2354
Argentina	Welsh	1.9833333333333334	1
Armenia	Armenian	1.5499999999999994	77
Armenia	Czech	1.2	1
Armenia	English	1.475	10
Armenia	French	1.1	1
Armenia	Kurdish	1.4	1
Armenia	None	1.65	1
Armenia	Russian	1.4766666666666668	5
Armenia	Spanish	1.4000000000000001	6
Armenia	Turkish	2.0	1
Australia	Aboriginal	1.51	5
Australia	Albanian	1.3666666666666667	1
Australia	Arabic	1.5555555555555556	3
Australia	Bengali	1.7833333333333334	1
Australia	Central Khmer	1.5	1
Australia	Chinese	2.5000000000000004	3
Australia	Croatian	1.3333333333333333	1
Australia	Dzongkha	1.6416666666666666	2
Australia	English	1.5224186455584896	1895
Australia	French	2.1100000000000003	5
Australia	German	1.4166666666666665	2
Australia	Greek	1.3666666666666667	1
Australia	Hassanya	1.25	1
Australia	Hindi	1.9895833333333335	8
Australia	Indonesian	1.5583333333333331	4
Australia	Italian	2.5416666666666665	2
Australia	Japanese	1.75	3
Australia	Khmer	1.3333333333333333	1
Australia	Korean	1.1666666666666667	1
Australia	Lao	1.6	1
Australia	Mandarin	1.5777777777777777	3
Australia	Nepali	1.6	1
Australia	None	1.25	1
Australia	Pashtu	1.5333333333333334	1
Australia	Persian	1.5166666666666668	3
Australia	Polish	1.5833333333333333	1
Australia	Portuguese	1.6333333333333333	1
Australia	Punjabi	2.4416666666666664	2
Australia	Russian	1.1	1
Australia	Spanish	1.4944444444444445	6
Australia	Swedish	1.45	1
Australia	Tamil	1.6666666666666667	1
Australia	Tok Pisin	1.0833333333333333	1
Australia	Turkish	1.2166666666666666	1
Australia	Ukrainian	1.3	1
Australia	Vietnamese	1.6333333333333333	2
Austria	Albanian	1.3222222222222222	3
Austria	Arabic	1.3944444444444446	3
Austria	Bosnian	1.45	1
Austria	Bulgarian	1.6666666666666667	1
Austria	Cantonese	1.2333333333333334	1
Austria	Chinese	1.4833333333333334	1
Austria	Czech	1.9249999999999998	2
Austria	Danish	2.3333333333333335	1
Austria	Dari	1.5666666666666667	1
Austria	Dzongkha	1.45	1
Austria	English	1.5297385620915036	153
Austria	French	1.5551282051282054	13
Austria	Georgian	1.4833333333333334	1
Austria	German	1.5340751730959454	674
Austria	Hebrew	1.372222222222222	3
Austria	Hindi	1.5	1
Austria	Indonesian	1.4666666666666666	1
Austria	Italian	1.625	6
Austria	Japanese	1.6666666666666667	1
Austria	Korean	1.4666666666666668	2
Austria	Kurdish	1.4916666666666667	4
Austria	Kyrgyz	1.5	1
Austria	None	1.261111111111111	3
Austria	Pashtu	2.033333333333333	1
Austria	Persian	1.4708333333333334	4
Austria	Polish	1.3	1
Austria	Portuguese	1.2583333333333333	2
Austria	Romanian	1.2416666666666667	4
Austria	Romany	2.1666666666666665	1
Austria	Russian	1.4592592592592593	9
Austria	Serbian	1.3833333333333333	1
Austria	Serbo-Croatian	1.5166666666666666	1
Austria	Slovak	1.6333333333333333	2
Austria	Spanish	1.361111111111111	12
Austria	Swedish	2.3	1
Austria	Thai	1.3166666666666667	1
Austria	Tibetan	1.4333333333333333	1
Austria	Turkish	1.5999999999999999	6
Austria	Vietnamese	3.0	1
Azerbaijan	Azerbaijani	1.5410256410256409	26
Azerbaijan	Azeri	1.5046875000000002	32
Azerbaijan	English	1.8166666666666667	2
Azerbaijan	Russian	1.3999999999999997	6
Azerbaijan	Turkish	1.0166666666666666	1
Bangladesh	Bengali	2.2060659599528862	283
Bangladesh	English	1.8979166666666667	8
Bangladesh	Urdu	2.5	1
Belarus	Belarusian	1.3499999999999999	4
Belarus	English	1.45	2
Belarus	German	1.5	1
Belarus	Russian	1.4864406779661012	59
Belgium	Afrikaans	1.5666666666666667	1
Belgium	Albanian	1.0666666666666667	1
Belgium	Amharic	1.25	1
Belgium	Arabic	1.7461538461538462	13
Belgium	Aramaic	1.5833333333333333	1
Belgium	Armenian	1.25	1
Belgium	Bambara	1.25	1
Belgium	Bulgarian	1.1666666666666667	2
Belgium	Chinese	1.0833333333333333	1
Belgium	Creole	1.3583333333333334	2
Belgium	Dari	1.45	1
Belgium	Dutch	1.5478985507246381	230
Belgium	English	1.5465846994535517	122
Belgium	Flemish	1.6878787878787878	33
Belgium	French	1.4851799242424237	352
Belgium	German	2.026666666666667	5
Belgium	Greek	2.2	1
Belgium	Hebrew	1.311111111111111	3
Belgium	Hungarian	1.6416666666666666	2
Belgium	Indonesian	1.25	1
Belgium	Italian	1.4416666666666667	8
Belgium	Japanese	1.45	5
Belgium	Korean	1.3583333333333334	4
Belgium	Lingala	1.9333333333333333	1
Belgium	Macedonian	1.7166666666666666	1
Belgium	Mandarin	1.4333333333333333	1
Belgium	Mongolian	1.625	2
Belgium	Persian	1.45	1
Belgium	Polish	1.4916666666666667	2
Belgium	Portuguese	1.4416666666666667	2
Belgium	Quechua	1.2666666666666666	1
Belgium	Romanian	1.2733333333333334	5
Belgium	Russian	1.45	3
Belgium	Serbian	1.65	1
Belgium	Serbo-Croatian	1.625	2
Belgium	Spanish	1.3333333333333335	16
Belgium	Swahili	1.4166666666666667	2
Belgium	Tamil	1.2666666666666666	1
Belgium	Vietnamese	1.2	1
Bolivia	English	1.4875	4
Bolivia	Quechua	1.7	1
Bolivia	Spanish	1.5639880952380947	56
Bosnia and Herzegovina	Arabic	2.0	1
Bosnia and Herzegovina	Armenian	1.05	1
