countries_first	running_times_first	kind
Algeria	1.6341025641025637	65
Argentina	1.4600997676643446	2439
Armenia	1.5265372168284788	103
Australia	1.5286415989159925	1968
Austria	1.53102951763859	926
Azerbaijan	1.511442786069652	67
Bangladesh	2.198630136986302	292
Belarus	1.4772727272727268	66
Belgium	1.519347739095639	833
Bolivia	1.561202185792349	61
Bosnia and Herzegovina	1.4462025316455702	79
Brazil	1.5043894203714123	1777
Bulgaria	1.5885608856088567	271
Canada	1.5151635720601309	5656
Chile	1.4761818181818176	550
China	1.6489306784660787	1808
Colombia	1.5143452380952385	280
Costa Rica	1.4389880952380951	56
Croatia	1.4702205882352943	272
Cuba	1.5210526315789459	133
Cyprus	1.5148484848484844	55
Czech Republic	1.559901960784313	680
Denmark	1.5124591503267975	816
Dominican Republic	1.5183333333333333	160
Ecuador	1.4905797101449274	92
Egypt	1.7163720538720526	396
Estonia	1.527444444444445	150
Federal Republic of Yugoslavia	1.6355691056910564	82
Finland	1.4976246843434369	704
France	1.5863831215783553	6454
Georgia	1.5674796747967479	164
Germany	1.5343073210922775	5664
Greece	1.501195499296765	948
Hong Kong	1.604829625706213	1888
Hungary	1.5442536957558397	699
Iceland	1.5007978723404254	188
India	2.1854561272682074	6705
Indonesia	1.5967027305512618	647
Iran	1.51030042918455	932
Iraq	1.486728395061729	54
Ireland	1.48322277501382	606
Israel	1.4614280588446351	929
Italy	1.529461976202795	3867
Japan	1.64150709219858	5640
Kazakhstan	1.5294985250737465	113
Latvia	1.5503058103975529	109
Lebanon	1.5007507507507512	111
Lithuania	1.5687285223367697	97
Luxembourg	1.5247967479674789	82
Malaysia	1.6012443438914028	442
Mexico	1.5105078809106838	2284
Morocco	1.606971677559913	153
Nepal	1.9179611650485435	103
Netherlands	1.4914209827357259	1256
New Zealand	1.5073634204275534	421
Nigeria	1.6497903563941299	159
Norway	1.4779247501469746	567
Occupied Palestinian Territory	1.4238562091503266	51
Pakistan	1.957446808510638	94
Peru	1.5470164609053498	162
Philippines	1.6866617719040662	1362
Poland	1.5543608757062162	944
Portugal	1.5873754152823927	602
Puerto Rico	1.5496296296296292	135
Romania	1.5871104815864026	353
Russia	1.5753433835845878	1990
Serbia	1.5842342342342337	259
Singapore	1.5815955766192744	211
Slovakia	1.5305555555555554	126
Slovenia	1.4866666666666668	180
South Africa	1.579174983366601	501
South Korea	1.72301089714883	2233
Soviet Union	1.6126736111111102	192
Spain	1.5352693882066593	3013
Sri Lanka	1.7498188405797104	92
Sweden	1.552043010752688	1085
Switzerland	1.4810194174757272	1030
Taiwan	1.6585094850948539	615
Thailand	1.683590733590734	518
Turkey	1.6328032979976443	1132
UK	1.5610956861535343	6484
USA	1.5303247239677773	46958
Ukraine	1.59671848013817	193
United Arab Emirates	1.508469945355191	61
Uruguay	1.4495412844036697	109
Venezuela	1.606686626746507	167
Vietnam	1.6326436781609195	145
